TimeStep,Year,Month,Day,Hour,Minute,Dry Bulb in Celsius,Relative Humidity,Atmospheric Station Pressure in Pascale,Air wet-bulb temperature [°C],DATE,PERIOD,Price [S$/MWh]
1,,,,,30,,,,24.04091101,1-Jan-18,1,110.5
2,1989,1,1,1,60,24.7,94,100900,23.94490619,1-Jan-18,2,110.5
3,,,,,30,,,,23.79147069,1-Jan-18,3,110.5
4,1989,1,1,2,60,24.4,94,100900,23.64980667,1-Jan-18,4,110.5
5,,,,,30,,,,23.58911631,1-Jan-18,5,110.5
6,1989,1,1,3,60,24.2,95,100800,23.57889049,1-Jan-18,6,110.5
7,,,,,30,,,,23.58862011,1-Jan-18,7,110.5
8,1989,1,1,4,60,24.1,96,100800,23.60538172,1-Jan-18,8,110.5
9,,,,,30,,,,23.61625188,1-Jan-18,9,110.5
10,1989,1,1,5,60,24.1,96,100800,23.60538172,1-Jan-18,10,110.5
11,,,,,30,,,,23.55692238,1-Jan-18,11,110.5
12,1989,1,1,6,60,24,96,100800,23.50646352,1-Jan-18,12,110.5
13,,,,,30,,,,23.4895948,1-Jan-18,13,110.5
14,1989,1,1,7,60,24.2,94,100800,23.45287514,1-Jan-18,14,110.5
15,,,,,30,,,,23.34286345,1-Jan-18,15,110.5
16,1989,1,1,8,60,24.3,92,100900,23.29707796,1-Jan-18,16,110.5
17,,,,,30,,,,23.45303691,1-Jan-18,17,110.5
18,1989,1,1,9,60,25.5,86,100900,23.67113278,1-Jan-18,18,110.5
19,,,,,30,,,,23.81175807,1-Jan-18,19,110.5
20,1989,1,1,10,60,26.8,79,101000,23.92704359,1-Jan-18,20,110.5
21,,,,,30,,,,24.06912017,1-Jan-18,21,110.5
22,1989,1,1,11,60,28,73,101000,24.14667956,1-Jan-18,22,110.5
23,,,,,30,,,,24.0684135,1-Jan-18,23,110.5
24,1989,1,1,12,60,26.8,79,101000,23.92704359,1-Jan-18,24,110.5
25,,,,,30,,,,23.81529146,1-Jan-18,25,110.5
26,1989,1,1,13,60,25.5,86,100900,23.67113278,1-Jan-18,26,110.5
27,,,,,30,,,,23.43254325,1-Jan-18,27,110.5
28,1989,1,1,14,60,24.3,92,100900,23.29707796,1-Jan-18,28,110.5
29,,,,,30,,,,23.46229201,1-Jan-18,29,110.5
30,1989,1,1,15,60,25.4,87,100800,23.70930637,1-Jan-18,30,110.5
31,,,,,30,,,,23.81924203,1-Jan-18,31,110.5
32,1989,1,1,16,60,26.5,81,100800,23.92982159,1-Jan-18,32,110.5
33,,,,,30,,,,24.17876767,1-Jan-18,33,110.5
34,1989,1,1,17,60,27.6,77,100700,24.37940363,1-Jan-18,34,110.5
35,,,,,30,,,,24.34505284,1-Jan-18,35,110.5
36,1989,1,1,18,60,27.1,79,100800,24.20715705,1-Jan-18,36,110.5
37,,,,,30,,,,24.09715803,1-Jan-18,37,110.5
38,1989,1,1,19,60,26.6,81,100800,24.02434204,1-Jan-18,38,110.5
39,,,,,30,,,,23.99799532,1-Jan-18,39,110.5
40,1989,1,1,20,60,26.1,84,100800,23.97111739,1-Jan-18,40,110.5
41,,,,,30,,,,23.89670778,1-Jan-18,41,110.5
42,1989,1,1,21,60,25.8,85,100900,23.8226808,1-Jan-18,42,110.5
43,,,,,30,,,,23.79695076,1-Jan-18,43,110.5
44,1989,1,1,22,60,25.6,86,100900,23.7671801,1-Jan-18,44,110.5
45,,,,,30,,,,23.68103128,1-Jan-18,45,110.5
46,1989,1,1,23,60,25.3,87,101000,23.61388334,1-Jan-18,46,110.5
47,,,,,30,,,,23.64111534,1-Jan-18,47,110.5
48,1989,1,1,24,60,25.1,89,101000,23.68662307,1-Jan-18,48,110.5
49,,,,,30,,,,23.67430234,2-Jan-18,1,110.5
50,1989,1,2,1,60,24.8,91,100900,23.65650776,2-Jan-18,2,110.5
51,,,,,30,,,,23.68559394,2-Jan-18,3,110.5
52,1989,1,2,2,60,24.6,93,100900,23.71881642,2-Jan-18,4,110.5
53,,,,,30,,,,23.71343075,2-Jan-18,5,110.5
54,1989,1,2,3,60,24.6,93,100900,23.71881642,2-Jan-18,6,110.5
55,,,,,30,,,,23.78435294,2-Jan-18,7,110.5
56,1989,1,2,4,60,24.6,94,100800,23.84633395,2-Jan-18,8,110.5
57,,,,,30,,,,23.84105311,2-Jan-18,9,110.5
58,1989,1,2,5,60,24.6,94,100800,23.84633395,2-Jan-18,10,110.5
59,,,,,30,,,,23.94000002,2-Jan-18,11,110.5
60,1989,1,2,6,60,24.8,94,100900,24.04327553,2-Jan-18,12,110.5
61,,,,,30,,,,24.07738471,2-Jan-18,13,110.5
62,1989,1,2,7,60,25,93,100900,24.11116827,2-Jan-18,14,110.5
63,,,,,30,,,,24.21346691,2-Jan-18,15,110.5
64,1989,1,2,8,60,25.2,93,100900,24.30735414,2-Jan-18,16,110.5
65,,,,,30,,,,24.31590348,2-Jan-18,17,110.5
66,1989,1,2,9,60,25.9,88,100900,24.3270214,2-Jan-18,18,110.5
67,,,,,30,,,,24.42861437,2-Jan-18,19,110.5
68,1989,1,2,10,60,26.7,84,100900,24.54446028,2-Jan-18,20,110.5
69,,,,,30,,,,24.59833705,2-Jan-18,21,110.5
70,1989,1,2,11,60,27.4,80,100900,24.63590382,2-Jan-18,22,110.5
71,,,,,30,,,,24.70281976,2-Jan-18,23,110.5
72,1989,1,2,12,60,28.2,76,100900,24.78927357,2-Jan-18,24,110.5
73,,,,,30,,,,24.88545398,2-Jan-18,25,110.5
74,1989,1,2,13,60,28.9,73,100900,24.97302895,2-Jan-18,26,110.5
75,,,,,30,,,,25.03366646,2-Jan-18,27,110.5
76,1989,1,2,14,60,29.7,69,100800,25.06007938,2-Jan-18,28,110.5
77,,,,,30,,,,25.04498057,2-Jan-18,29,110.5
78,1989,1,2,15,60,29.1,72,100800,24.99761712,2-Jan-18,30,110.5
79,,,,,30,,,,24.92723614,2-Jan-18,31,110.5
80,1989,1,2,16,60,28.6,74,100800,24.85177444,2-Jan-18,32,110.5
81,,,,,30,,,,24.78916885,2-Jan-18,33,110.5
82,1989,1,2,17,60,28,77,100800,24.75333305,2-Jan-18,34,110.5
83,,,,,30,,,,24.7581807,2-Jan-18,35,110.5
84,1989,1,2,18,60,27.5,80,100800,24.72941532,2-Jan-18,36,110.5
85,,,,,30,,,,24.59274041,2-Jan-18,37,110.5
86,1989,1,2,19,60,26.9,82,100800,24.45101593,2-Jan-18,38,110.5
87,,,,,30,,,,24.40710185,2-Jan-18,39,110.5
88,1989,1,2,20,60,26.4,85,100700,24.3961741,2-Jan-18,40,110.5
89,,,,,30,,,,24.3534086,2-Jan-18,41,110.5
90,1989,1,2,21,60,26.2,86,100800,24.34303854,2-Jan-18,42,110.5
91,,,,,30,,,,24.42929709,2-Jan-18,43,110.5
92,1989,1,2,22,60,26.1,88,100900,24.52034826,2-Jan-18,44,110.5
93,,,,,30,,,,24.52435604,2-Jan-18,45,110.5
94,1989,1,2,23,60,25.9,89,100900,24.46180516,2-Jan-18,46,110.5
95,,,,,30,,,,24.35318033,2-Jan-18,47,110.5
96,1989,1,2,24,60,25.7,89,100900,24.26789769,2-Jan-18,48,110.5
97,,,,,30,,,,24.27537337,3-Jan-18,1,110.5
98,1989,1,3,1,60,25.6,90,100900,24.30415842,3-Jan-18,2,110.5
99,,,,,30,,,,24.28280388,3-Jan-18,3,110.5
100,1989,1,3,2,60,25.4,91,100800,24.24132265,3-Jan-18,4,110.5
101,,,,,30,,,,24.2097276,3-Jan-18,5,110.5
102,1989,1,3,3,60,25.2,92,100800,24.17702061,3-Jan-18,6,110.5
103,,,,,30,,,,24.13220353,3-Jan-18,7,110.5
104,1989,1,3,4,60,25.1,92,100800,24.07921084,3-Jan-18,8,110.5
105,,,,,30,,,,24.02197704,3-Jan-18,9,110.5
106,1989,1,3,5,60,24.9,93,100700,24.01259967,3-Jan-18,10,110.5
107,,,,,30,,,,24.1031763,3-Jan-18,11,110.5
108,1989,1,3,6,60,25.1,93,100800,24.20902209,3-Jan-18,12,110.5
109,,,,,30,,,,24.24545221,3-Jan-18,13,110.5
110,1989,1,3,7,60,25.3,92,100800,24.27483229,3-Jan-18,14,110.5
111,,,,,30,,,,24.35952795,3-Jan-18,15,110.5
112,1989,1,3,8,60,25.5,92,100800,24.47046138,3-Jan-18,16,110.5
113,,,,,30,,,,24.57855475,3-Jan-18,17,110.5
114,1989,1,3,9,60,26.8,84,100900,24.63993493,3-Jan-18,18,110.5
115,,,,,30,,,,24.61072877,3-Jan-18,19,110.5
116,1989,1,3,10,60,28,76,101000,24.60427492,3-Jan-18,20,110.5
117,,,,,30,,,,24.733912,3-Jan-18,21,110.5
118,1989,1,3,11,60,29.3,70,101000,24.86216321,3-Jan-18,22,110.5
119,,,,,30,,,,24.85155174,3-Jan-18,23,110.5
