ID,Start,End,Length [m],Diameter [m],Absolute Roughness [mm]
0,0,12,31.18530646,10,1
1,0,30,112.0715734,10,1
2,12,11,79.63876526,10,1
3,30,9,46.80145133,10,1
4,30,15,52.26862542,10,1
5,11,13,79.6387809,10,1
6,9,8,79.63875558,10,1
7,15,36,65.86089106,10,1
8,13,45,38.49245702,10,1
9,8,27,12.15188261,10,1
10,36,17,56.57455692,10,1
11,36,2,61.48789337,10,1
12,45,10,84.98346138,10,1
13,27,14,56.51323377,10,1
14,17,35,54.40370831,10,1
15,2,32,61.4879573,10,1
16,14,5,6.962355778,10,1
17,35,20,55.22131978,10,1
18,35,1,61.48783407,10,1
19,32,7,32.49362417,10,1
20,5,29,53.50157785,10,1
21,20,26,55.7569046,10,1
22,1,31,61.48795768,10,1
23,7,38,67.48675878,10,1
24,29,3,53.47752585,10,1
25,26,4,60.02833555,10,1
26,31,18,55.48907418,10,1
27,38,6,64.70683303,10,1
28,3,16,8.925487958,10,1
29,4,42,72.82464223,10,1
30,16,28,54.5740915,10,1
31,42,22,115.394265,10,1
32,28,21,74.56057938,10,1
33,21,19,35.12628829,10,1
