VARIABLES,IDs,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
DCP power [W],,0.0,0.0,0.0,0.0,0.0,0.0,2360301.22713,3265807.75054,3265807.75054,5076820.79738,3265807.75054,905698.65088,414.29092805,414.29092805,414.29092805,414.29092805,414.29092805,414.29092805,414.29092805,414.29092805,0.0,0.0,0.0,0.0,0.0,1959.38376558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3489.78135864
Heat-intake evaporator [W],,0.0,0.0,0.0,0.0,0.0,0.0,14215268.3178,19770823.8733,19770823.8733,30881934.9844,19770823.8733,5462325.07786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chiller-set flow [qbm/s],,0.0,0.0,0.0,0.0,0.0,0.0,0.423527328723,0.589048622548,0.589048622548,0.920091210197,0.589048622548,0.162743600552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TES flow [qbm/s],,0.0,0.0,0.0,0.0,0.0,0.0,0.165521293825,0.0,0.0,-0.331042587649,0.0,0.0464080697501,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.0,0.0,0.0,0.0,0.0,0.0266319068821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0474330418651
TES energy [J],,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.0,0.0,0.0,20000000000.0,20000000000.0,17196247765.0,16856047765.0,16515847765.0,16175647765.0,15835447765.0,15495247765.0,15155047765.0,14814847765.0,14474647765.0,14474647765.0,14474647765.0,14474647765.0,14474647765.0,14474647765.0,12865676117.5,12865676117.5,12865676117.5,12865676117.5,12865676117.5,12865676117.5,12865676117.5,12865676117.5,12865676117.5,12865676117.5,12865676117.5,12865676117.5,12865676117.5,12865676117.5,12865676117.5,12865676117.5,12865676117.5,12865676117.5,12865676117.5,12865676117.5,12865676117.5,12865676117.5,10000000000.0
DS power [W],,0.0,0.0,0.0,0.0,0.0,0.0,135261.686571,135768.532655,136140.870868,155720.755757,136140.870868,48906.1324835,2172.22392637,2172.22392637,2172.22392637,2172.22392637,2172.22392637,2172.22392637,2172.22392637,2172.22392637,0.0,0.0,0.0,0.0,0.0,10273.5059069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18297.7372947
Total flow [qbm/s],0,0.0,0.0,0.0,0.0,0.0,0.0,0.589048622548,0.589048622548,0.589048622548,0.589048622548,0.589048622548,0.209151670302,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.0,0.0,0.0,0.0,0.0,0.0266319068821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0474330418651
ETS flow [qbm/s],2,0.0,0.0,0.0,0.0,0.0,0.0,0.589048622548,0.58580235467,0.583417588132,0.458011565785,0.583417588132,0.203520635886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETS flow [qbm/s],3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00324626787813,0.00563103441591,0.131037056763,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.0,0.0,0.0,0.0,0.0,0.0266319068821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0474330418651
Lines flow [qbm/s],1,0.0,0.0,0.0,0.0,0.0,0.0,0.589048622548,0.589048622548,0.589048622548,0.589048622548,0.589048622548,0.209151670302,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.0,0.0,0.0,0.0,0.0,0.0266319068821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0474330418651
Lines flow [qbm/s],2,0.0,0.0,0.0,0.0,0.0,0.0,0.589048622548,0.58580235467,0.583417588132,0.458011565785,0.583417588132,0.203520635886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lines flow [qbm/s],3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00324626787813,0.00563103441591,0.131037056763,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.00563103441591,0.0,0.0,0.0,0.0,0.0,0.0266319068821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0474330418651
Lines velocity [m/s],1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,1.0652007099,0.0286786227844,0.0286786227844,0.0286786227844,0.0286786227844,0.0286786227844,0.0286786227844,0.0286786227844,0.0286786227844,0.0,0.0,0.0,0.0,0.0,0.135635187976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241574498519
Lines velocity [m/s],2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.98346689346,2.97132137722,2.33263375001,2.97132137722,1.03652208712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lines velocity [m/s],3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016533106541,0.0286786227844,0.667366249988,0.0286786227844,0.0286786227844,0.0286786227844,0.0286786227844,0.0286786227844,0.0286786227844,0.0286786227844,0.0286786227844,0.0286786227844,0.0286786227844,0.0,0.0,0.0,0.0,0.0,0.135635187976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241574498519
Heat-inflow buildings [W],2,0.0,0.0,0.0,0.0,0.0,0.0,19770823.8733,19661866.1608,19581823.8733,15372697.0108,19581823.8733,6830965.20842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat-inflow buildings [W],3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108957.7125,189000.0,4398126.8625,189000.0,189000.0,189000.0,189000.0,189000.0,189000.0,189000.0,189000.0,189000.0,189000.0,0.0,0.0,0.0,0.0,0.0,893873.1375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1592042.2875
